type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,pc_timestamp
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-64,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542130956,0,28,0,0,542.272587,128,69.8570 1.0000 21.3776 24.5153 18.4391 24.3311 21.2132 20.2237 19.2354 18.2483 16.2788 18.9737 19.3132 17.0880 19.3132 15.8114 20.2485 16.1555 18.9737 17.7200 15.2971 15.2971 14.1421 13.3417 15.2971 13.1529 14.1421 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 17.0880 19.4165 16.4924 20.3961 17.2627 22.0227 20.0000 20.0000 19.0263 19.0000 22.0227 20.0250 22.0000 20.0250 22.0000 20.0998 22.0907 19.0263 24.0208 23.0217 22.0227 22.0907 20.0250 25.3180 22.5610 26.4764,2025-06-08 17:14:07.981
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-69,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,542169142,0,101,0,0,542.310526,256,111.8258 5.0000 26.0000 26.0000 26.0192 25.0000 24.0000 25.0000 24.0000 22.0227 24.0832 23.3452 22.3607 21.3776 21.5870 20.2237 21.2132 22.2036 23.1948 21.2132 20.0250 21.0950 20.0250 18.0000 18.0278 18.0278 18.0278 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 20.0998 21.0238 21.0000 22.0907 21.0950 24.1868 22.3607 22.3607 23.5372 22.5610 23.5372 24.5153 23.5372 23.5372 24.5153 23.3452 23.3452 23.3452 24.0832 24.1868 25.0799 26.0768 26.1725 26.0192 27.0000 28.0000,2025-06-08 17:14:08.017
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542227928,0,28,0,0,542.369357,128,69.8570 1.0000 24.2074 24.8395 20.6155 24.2074 22.0227 20.6155 20.6155 18.4391 20.5183 19.8494 19.8494 19.2094 20.6155 18.4391 20.8087 18.6011 19.8494 19.7990 18.3848 17.6918 15.6205 14.8661 17.0294 14.2127 15.8114 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 17.6918 19.2094 17.8045 20.0000 18.0278 21.9545 21.4709 21.9317 21.0238 20.6155 22.8254 20.1246 22.3607 20.5913 22.3607 21.0950 21.9545 20.5913 23.3238 23.8537 23.3238 22.4722 22.4722 26.2488 24.0832 27.2029,2025-06-08 17:14:08.074
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-69,11,1,7,0,1,1,1,0,0,0,-96,1,6,0,542274439,0,101,0,0,542.415786,256,111.8258 5.0000 29.5466 28.2312 24.3516 26.0000 25.2982 24.1661 24.1661 22.8473 25.4951 23.0217 21.9545 21.9545 21.9545 21.0950 21.6333 21.4709 21.4709 19.6977 20.6155 19.3132 17.4642 17.0880 17.7200 16.4924 17.4642 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 19.7231 21.0238 21.0238 21.5407 22.1359 23.0868 22.8035 23.5372 24.3311 25.3180 24.5153 24.3311 24.5153 25.4951 24.5153 23.5372 24.7386 24.7386 25.2982 25.2982 25.0000 26.9258 26.5707 27.5136 28.7924 29.7321,2025-06-08 17:14:08.118
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542330105,0,28,0,0,542.471535,128,69.8570 1.0000 24.8395 25.6125 21.2603 25.4951 22.6274 21.2603 21.9317 19.2094 19.2094 21.0950 21.0950 19.2354 20.5913 19.2354 20.5913 18.3576 20.2485 19.4165 17.8045 17.8045 15.6205 15.0000 16.4012 14.2127 14.8661 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 18.6011 19.8494 19.1050 21.2132 19.7990 23.4307 22.2036 22.4722 21.6333 21.0950 23.6008 21.4009 23.8537 21.4009 23.0217 22.0227 22.8035 21.4009 26.2488 24.2074 24.2074 23.3452 22.6716 27.5862 24.0832 27.5862,2025-06-08 17:14:08.176
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-70,11,1,7,0,1,1,1,0,0,0,-96,1,6,0,542372370,0,101,0,0,542.513715,256,111.8258 5.0000 26.2488 25.6320 25.0799 23.4094 23.4094 22.1359 21.8403 21.8403 25.0000 22.5610 21.0950 19.2354 19.1050 19.2354 19.4165 19.6469 18.4391 18.4391 18.6815 16.2788 16.7631 15.8114 15.8114 13.6015 15.2315 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.2036 21.5870 22.8035 23.0868 23.7697 23.7697 23.2594 25.4951 25.0599 26.4197 24.1868 24.6982 26.0768 24.1868 25.0599 25.5539 24.1661 26.8328 26.0000 25.4951 26.9258 26.4008 26.4008 26.0000 26.4008 28.2312,2025-06-08 17:14:08.220
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542434086,0,28,0,0,542.575556,128,69.8570 1.0000 21.2132 21.3776 20.2237 21.2132 21.3776 19.2354 19.2354 16.4924 18.6815 18.9737 18.0278 16.1555 17.7200 18.0278 18.3848 17.0880 18.0278 17.4642 16.4924 16.4924 15.1327 15.2971 15.1327 14.1421 14.0357 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 16.1555 16.4924 16.2788 17.2627 17.2627 19.0263 19.0000 20.0250 19.0263 19.0263 21.0000 19.0263 20.0000 19.0000 19.0000 19.0263 20.0000 20.0000 21.0238 22.0227 21.0238 21.0950 21.0238 24.3311 21.3776 24.1868,2025-06-08 17:14:08.282
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-70,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,542474288,0,101,0,0,542.615682,256,111.8258 5.0000 28.3196 26.1725 28.4253 26.9072 25.4558 24.7588 24.7588 23.3452 24.7588 23.6008 23.4307 22.2036 21.4009 22.8035 20.0000 20.0000 19.2094 19.2094 19.1050 18.4391 18.3848 19.8494 17.0294 15.5563 16.4012 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 25.4951 24.0832 27.0185 25.6125 27.2029 25.5539 26.0768 27.2947 25.9422 25.9422 27.2947 28.2312 28.1780 25.9422 25.4951 26.0768 24.6982 26.6271 27.2029 27.2029 28.0179 28.6007 28.4253 28.4253 28.3196 29.2062,2025-06-08 17:14:08.320
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542533756,0,28,0,0,542.675195,128,69.8570 1.0000 21.0238 22.0907 18.1108 22.0227 20.0250 19.0263 19.0263 17.1172 16.2788 17.7200 17.4642 16.7631 18.6815 16.4924 18.6815 15.5242 17.4642 17.1172 15.1327 15.0333 14.0000 13.0384 14.0357 13.0384 12.0416 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 15.1327 17.0294 16.0000 18.0000 16.0312 20.2237 18.2483 19.4165 18.6815 17.4642 20.0998 18.2483 20.2237 18.1108 20.2237 18.1108 20.0998 18.1108 22.0907 21.0950 21.0950 19.0263 19.0263 23.0868 21.2132 24.0208,2025-06-08 17:14:08.377
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-68,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,542577274,0,101,0,0,542.718637,256,111.8258 5.0000 29.2062 28.4253 26.8701 26.9072 24.2074 24.8395 23.8537 23.8537 24.1868 22.8254 22.8254 22.3607 21.9317 21.9317 21.9317 23.2594 21.5407 22.8254 21.0238 20.5913 18.8680 18.3576 17.2047 17.8045 18.4391 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.2036 24.0832 23.3452 24.0416 24.7588 25.4951 25.4951 25.8070 25.8070 26.6271 28.8444 26.6271 26.9258 26.0768 26.4008 26.2488 26.2488 27.6586 27.6586 27.6586 26.8701 29.0000 29.0000 29.0000 29.0000 29.6985,2025-06-08 17:14:08.421
